,Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
104,28,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes
106,27,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",97,Yes,No,No,Purchased the book,Yes,Yes
107,26,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",97,Yes,No,No,Purchased the book,No,No
109,24,Female,White,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,No,Yes
110,24,Female,White,Never been married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,No
111,23,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",97,Yes,Yes,No,Purchased the book,No,No
112,23,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
115,21,Male,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
116,20,Female,White,Living with a partner,High school graduate,Employed part-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
117,19,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,No
118,18,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,No
119,18,Female,White,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,No
124,64,Female,Native American/American Indian,Divorced,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",96,Yes,No,No,Purchased the book,Yes,Yes
125,40,Male,Black or African-American,Divorced,High school graduate,Retired,"Less than $10,000",96,Yes,No,No,Purchased the book,Yes,Yes
130,57,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",96,Yes,No,Yes,Purchased the book,No,No
131,56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
133,53,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,96,Yes,Yes,No,Purchased the book,Yes,Yes
136,48,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",96,Yes,No,Yes,Purchased the book,Yes,Yes
137,47,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",96,Yes,No,Yes,Purchased the book,Yes,Yes
138,28,Female,White,Single,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",96,Yes,Yes,Yes,Purchased the book,No,Yes
139,74,Male,White,Married,High school graduate,Retired,Refused,90,Yes,No,No,Borrowed the book from a library,Yes,No
141,47,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",84,Yes,No,No,Purchased the book,Yes,Yes
144,65,Female,White,Married,High school graduate,Retired,Refused,80,Yes,No,No,Purchased the book,Yes,No
145,64,Female,White,Married,"Some college, no 4-year degree",Retired,Refused,80,Yes,Yes,No,Purchased the book,No,Yes
146,54,Female,White,Living with a partner,"Some college, no 4-year degree",Disabled,"$30,000 to under $40,000",80,Yes,No,No,Got the book some other way,Yes,No
147,18,Male,White,Single,High school graduate,Employed full-time,"Less than $10,000",80,Yes,No,Yes,Purchased the book,No,No
150,54,Female,Black or African-American,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
151,81,Female,White,Widowed,College graduate,Not employed for pay,"$75,000 to under $100,000",75,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
152,78,Female,White,Widowed,High school graduate,Retired,"9$100,000 to under $150,000",75,Yes,No,No,Got the book some other way,Yes,No
153,73,Female,White,Married,College graduate,Employed part-time,"$30,000 to under $40,000",75,Yes,No,No,Purchased the book,Yes,Yes
154,68,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",75,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
155,65,Female,White,Divorced,High school graduate,Retired,"$30,000 to under $40,000",75,Yes,No,No,Borrowed the book from a library,Yes,No
156,62,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",75,Yes,No,No,Purchased the book,Yes,Yes
157,61,Female,White,Married,High school graduate,Retired,"$100,000 to under $150,000",75,Yes,Yes,No,Purchased the book,Yes,Yes
158,55,Female,White,Widowed,College graduate,Employed full-time,"$40,000 to under $50,000",75,Yes,No,No,Got the book some other way,Yes,No
159,48,Female,White,Married,College graduate,Not employed for pay,"9$100,000 to under $150,000",75,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
162,39,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",75,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
163,55,Male,Black or African-American,Separated,High school graduate,Retired,"$10,000 to under $20,000",70,Yes,No,No,Got the book some other way,No,Yes
165,64,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",70,Yes,No,No,Purchased the book,Yes,Yes
168,53,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",70,Yes,No,Yes,Got the book some other way,No,No
170,22,Female,White,Married,High school graduate,Employed part-time,"Less than $10,000",70,Yes,No,No,Purchased the book,No,No
171,21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",70,Yes,No,No,Borrowed the book from a friend or family member,No,No
174,40,Male,White,Married,High school graduate,Not employed for pay,"Less than $10,000",65,Yes,No,No,Purchased the book,No,Yes
176,35,Male,Native American/American Indian,Never been married,High school graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,No,No,Purchased the book,Yes,Yes
177,50,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",60,Yes,No,Yes,Purchased the book,No,Yes
178,45,Female,Black or African-American,Married,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,Yes,Yes,Got the book some other way,No,Yes
181,66,Female,White,Divorced,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,No,No,Purchased the book,Yes,Don’t know
182,65,Female,White,Married,College graduate,Retired,"$50,000 to under $75,000",60,Yes,Yes,No,Purchased the book,Yes,Yes
183,62,Female,White,Widowed,College graduate,Retired,"$40,000 to under $50,000",60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
185,60,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",60,Yes,Yes,No,Purchased the book,Yes,No
186,60,Female,White,Married,College graduate,Retired,Refused,60,Yes,Yes,Yes,Purchased the book,Yes,Yes
187,58,Female,White,Widowed,High school graduate,Employed full-time,"$30,000 to under $40,000",60,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
188,53,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",60,Yes,Yes,Yes,Purchased the book,Yes,Yes
191,38,Male,White,Divorced,College graduate,Employed full-time,"$40,000 to under $50,000",60,Yes,No,No,Purchased the book,Yes,Yes
192,23,Female,White,Never been married,College graduate,Employed part-time,"9$100,000 to under $150,000",60,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
193,22,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",60,Yes,Yes,No,Purchased the book,Yes,Yes
194,21,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",60,Yes,No,Yes,Purchased the book,No,No
195,34,Male,Refused,Married,"Some college, no 4-year degree",Employed full-time,Refused,55,Yes,Yes,Yes,Purchased the book,Yes,Yes
196,81,Male,White,Married,High school graduate,Retired,Refused,55,Don’t know,No,No,Got the book some other way,Yes,No
197,66,Female,White,Living with a partner,High school graduate,Retired,"$40,000 to under $50,000",55,Yes,No,Yes,Purchased the book,Yes,No
198,47,Female,White,Divorced,High school graduate,Employed part-time,"$20,000 to under $30,000",54,Yes,No,Yes,Borrowed the book from a library,No,No
202,66,Male,Refused,Married,College graduate,Employed part-time,"9$100,000 to under $150,000",50,Yes,No,No,8,Yes,No
203,50,Male,Refused,Never been married,High school graduate,Retired,Refused,50,Yes,No,No,Purchased the book,Yes,No
204,26,Male,Refused,Married,"Some college, no 4-year degree",Employed full-time,Refused,50,Yes,No,No,Purchased the book,No,No
206,37,Male,Other,Single,High school graduate,Retired,"Less than $10,000",50,Yes,No,No,Purchased the book,Yes,Yes
208,32,Female,Native American/American Indian,Living with a partner,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
210,26,Male,Asian or Pacific Islander,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",50,Yes,No,Yes,Purchased the book,Yes,No
212,59,Female,Black or African-American,Married,College graduate,Employed full-time,"$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,Yes
213,47,Female,Black or African-American,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",50,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
218,83,Female,White,Widowed,College graduate,Retired,"$20,000 to under $30,000",50,Yes,No,No,Purchased the book,Yes,Yes
219,80,Female,White,Widowed,High school graduate,Employed full-time,"$10,000 to under $20,000",50,Yes,No,No,Borrowed the book from a library,Yes,Yes
221,78,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",50,Yes,No,No,Purchased the book,No,Yes
223,78,Female,White,Married,High school graduate,Retired,"$30,000 to under $40,000",50,Yes,No,No,Purchased the book,No,Yes
225,77,Female,White,Widowed,High school graduate,Retired,"$40,000 to under $50,000",50,Yes,No,Yes,Borrowed the book from a library,Yes,No
226,76,Female,White,Widowed,College graduate,Retired,"9$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,Yes
228,74,Female,White,Married,College graduate,Retired,"$40,000 to under $50,000",50,Yes,Yes,Yes,Purchased the book,Yes,Yes
229,72,Female,White,Married,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",50,Yes,Yes,No,Purchased the book,Yes,Yes
230,70,Male,White,Married,College graduate,Retired,"$75,000 to under $100,000",50,Yes,No,No,Borrowed the book from a library,Yes,Yes
231,70,Female,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",50,Yes,No,No,Purchased the book,Yes,Yes
232,70,Female,White,Married,College graduate,Retired,"$10,000 to under $20,000",50,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
234,68,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",50,Yes,No,No,Borrowed the book from a library,Yes,No
235,68,Male,White,Married,College graduate,Employed part-time,"$50,000 to under $75,000",50,Yes,No,Yes,Purchased the book,No,Yes
238,66,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",50,Yes,No,Yes,Borrowed the book from a library,Yes,No
239,66,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",50,Yes,Yes,Yes,Purchased the book,Yes,Yes
240,65,Male,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",50,Yes,No,No,Got the book some other way,Yes,Yes
241,65,Male,White,Married,College graduate,Retired,"$30,000 to under $40,000",50,Yes,No,No,Borrowed the book from a library,No,No
242,65,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",50,Yes,No,Yes,Borrowed the book from a library,No,Yes
245,64,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",50,Yes,Yes,Yes,Purchased the book,Yes,Yes
248,60,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
252,59,Female,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",50,Yes,No,No,Purchased the book,No,Yes
253,59,Male,White,Never been married,College graduate,Employed full-time,"$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,No
254,58,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",50,Yes,No,No,Purchased the book,Yes,Yes
255,58,Female,White,Married,"Some college, no 4-year degree",Disabled,"$100,000 to under $150,000",50,Yes,Yes,No,Got the book some other way,Yes,Yes
257,57,Female,White,Married,College graduate,Employed part-time,Refused,50,Yes,No,Yes,Borrowed the book from a library,No,Yes
259,55,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",50,Yes,No,No,Purchased the book,Yes,No
261,54,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",50,Yes,No,Yes,Purchased the book,Yes,No
262,53,Female,White,Separated,High school graduate,Disabled,"Less than $10,000",50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
264,53,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",50,Yes,Yes,Yes,Purchased the book,No,Yes
265,53,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",50,Yes,No,Yes,Purchased the book,Yes,Yes
266,53,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,Yes
268,52,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",50,Yes,No,Yes,Purchased the book,No,Yes
270,51,Female,White,Divorced,College graduate,Employed full-time,Refused,50,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
271,50,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",50,No,No,Yes,Purchased the book,Yes,No
272,50,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",50,Yes,No,No,Borrowed the book from a library,Yes,Yes
273,50,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,Yes
274,49,Female,White,Married,College graduate,Employed full-time,"$30,000 to under $40,000",50,No,No,Yes,Purchased the book,No,Yes
276,48,Female,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,50,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
277,47,Female,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",50,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
278,46,Female,White,Separated,College graduate,Not employed for pay,"$20,000 to under $30,000",50,Yes,Yes,No,Borrowed the book from a library,Yes,No
279,45,Male,White,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",50,Yes,No,Yes,Purchased the book,Yes,Yes
280,45,Male,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",50,Yes,Yes,No,Borrowed the book from a library,Yes,No
282,44,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",50,Yes,No,Yes,Got the book some other way,No,No
283,44,Female,White,Never been married,College graduate,Employed full-time,"$20,000 to under $30,000",50,Yes,No,No,Purchased the book,No,No
285,42,Female,White,Never been married,College graduate,Have own business/self-employed,"$100,000 to under $150,000",50,Yes,No,Yes,Purchased the book,Yes,No
286,41,Female,White,Married,High school graduate,Disabled,"$10,000 to under $20,000",50,Yes,No,No,Purchased the book,No,No
288,38,Male,White,Living with a partner,High school graduate,Not employed for pay,"$75,000 to under $100,000",50,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
291,36,Male,White,Married,"Some college, no 4-year degree",Employed full-time,Refused,50,Yes,Yes,Yes,Purchased the book,Yes,Yes
292,35,Female,White,Living with a partner,College graduate,Employed full-time,"$20,000 to under $30,000",50,Yes,No,No,Purchased the book,Yes,Yes
295,32,Female,White,Never been married,High school graduate,Employed full-time,"$20,000 to under $30,000",50,Yes,No,No,Borrowed the book from a library,Yes,No
297,29,Male,White,Married,High school graduate,Employed part-time,"$10,000 to under $20,000",50,Yes,Yes,Yes,Purchased the book,No,Yes
298,27,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",50,Yes,Yes,Yes,Got the book some other way,Yes,No
299,27,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",50,Yes,No,Yes,Purchased the book,No,No
300,26,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",50,Yes,No,No,Purchased the book,Yes,No
301,25,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
302,23,Male,White,Never been married,College graduate,Employed full-time,"$40,000 to under $50,000",50,Yes,No,Yes,Purchased the book,Yes,Yes
303,22,Female,White,Never been married,College graduate,Employed full-time,"9$100,000 to under $150,000",50,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
304,20,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",50,Yes,No,Yes,Purchased the book,Yes,Yes
305,19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",50,Yes,No,No,Borrowed the book from a library,No,Yes
306,19,Female,White,Living with a partner,High school graduate,Employed part-time,"9$100,000 to under $150,000",50,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
310,75,Female,White,Married,College graduate,Retired,Refused,48,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
